__label__1 , 货已 收到 质量 不错 京东 服务
__label__1 , 电脑 不错 第一次 电脑 爸妈 苹果 系统 PS 风扇 声音 很大 非带 耳机 别想 听到 CPU 全上 4.2 1080 2k 游戏 私聊
__label__2 , 收到 降价 恶心 客服 三天 不放 过年 物流 退货 没法 这辈子 再也不会 李宁
__label__1 , 电脑 不错 几天 推荐 推荐
__label__1 , 好看 舒服 特别 喜欢 开心
__label__2 , 手机 玩游戏 经常出现 断触 屏幕
__label__1 , 划算 超赞 超值 运输 速度 飞快
__label__2 , 感觉 假货 几天 特别 手机 用同 一张 一点 不好
__label__2 , 代收 屏幕 售后 签收 几天 幸亏 保护膜 没什么 不爽 京东 购物 第一次 情况
__label__1 , 质量 挺不错 性价比 摆在 好评
__label__2 , 鼠标垫 整整 半个 收到 卖家 稍后 补发 多久 几天 留言 音信 失望 服务
__label__1 , 快递 态度 不好 星期
__label__2 , 对象 买个 手机 买回来 屏幕 变形 爱人 平时 爱护 我试 回来 没拿住 耳机 位置 售后 人为 付费 维修 京东 不靠 对象
__label__1 , 睡衣 收到 衣服 质感 款式 不错 店家 贴心 尺子 实事 企业
__label__1 , 配送 速度 不愧为 京东
__label__2 , 不行
__label__2 , 客服 不理 手机 百度 网络 有时候 app 图片 视频 退出 app 飞行 摸索 再关 飞行 模式 app 恢复正常 闹心 第一 第二张 图是 京东 app 图片 显示 微博
__label__1 , 手机 价格 买回来 第二天 降价 店里 便宜
__label__2 , 两个 音量 声音 很小 地方 检测 售后 一点 上心 失望
__label__1 , 开机 散热 程序运行 声音 很小 键盘 颜色 很正 质感 屏幕 超赞 触屏 模式
__label__1 , 满意 满意 穿着 舒服
__label__1 , 速度 声音 免费 上门 安装 更好
__label__2 , 刚买 200 机器 外封 拆过 纳闷 华硕 捆绑 软件 豌豆荚 感觉 二手
__label__1 , 不错 不错 东西 信赖 京东
__label__2 , 弹幕
__label__2 , 散热器 声音 太大 电池 耐用
__label__1 , 大小 材质
__label__2 , 顺丰 验证 第二次
__label__1 , 情侣 老婆 喜欢 真皮 透气 穿着 舒服 希望 好看 鞋子
__label__1 , 满意 物流 超快 东西
__label__2 , 鞋子 号码 偏小 号码 申请 换货 快递 卖家 签收 鞋子 影响 销售 运动 品牌 服务态度 阿迪 耐克 相比 差远了
__label__1 , 鞋子 舒服 透气 值得 购买
__label__2 , 愉快 交易 客服 信息 快递 签收 拒收 快递 拒收 包装 随便 盒子
__label__2 , 到货 速度 到货 足球 送臂 搞笑
__label__2 , 失望 至极 拍照 感觉 摄像头 屏幕 灵敏度 感觉 不行 手机 后盖 边上 鼓起来 一块 到位 几天 贴膜 发现 认了 本来 打算 荣耀 黑色 没货 几天 感觉 选择
__label__2 , 手机 相机 卡死 重启 机器 才行 评论 发现 好多 相机 死机 卡顿 电池 耐用
__label__1 , 降到 性价比 不错
__label__1 , 面料 穿着 舒服 鞋子 码数 很正 喜欢 商家 态度
__label__1 , 客服 满意 回答 详细 耐心 讲解 总体 值得 入手
__label__1 , 
__label__1 , 服务 发货 速度 质量 卖家 描述 完全一致 满意
__label__2 , 小米 电视机 劣质 产品 千万别 购买 电视 便宜 屏幕 质量 维修 成本 月份 2699 小米 电视机 不到 三个 屏幕 自然 维修 人员 上门 一眼 人为 弄坏 检测 报告 出具 小米 客服 电话 屏幕 保修 换屏 2700 产品 京东 小米 电视 倒霉
__label__1 , 预料
__label__2 , 屏幕 两天 发现 屏闪 摄像头 耳机 孔太 毛糙 铁丝
__label__1 , 满意 不错 手机 推荐 购买
__label__1 , 
__label__1 , 不错 实用 喜欢
__label__2 , 鞋子 先不说 鞋子 质量 做工 发货 出苦 速度 耗死
__label__2 , 第一次 一颗 星给 爸妈 搬回 乡下 破烂 显示器 泛白 一点 清晰 老娘 眼睛 叔叔 阿姨 年纪 看清 这破 玩意 挣点 非要 便宜货 还手 激活 下爽
__label__1 , 东西 收到 快递 包装 完好 送货 速度 很快 配送 服务态度 好评 下次 还会
__label__2 , 不到 两周 电池 显示 一会 一会 显示 一半
__label__1 , 朋友 穿着 气质 效果 修身 质量 买得 很值
__label__1 , 朋友 不错
__label__2 , 物流 1999 耳机 耳机 赠品 不到 申请 价格 保护 成功 赠品 耳机 赠品 强买强卖 售后服务 很差 第一次 京东 东西 不好意思 差评 手机 屏幕 刚买
__label__2 , 乞丐 手机 半天 找到 耳机 耳机 手机 手机 出厂 保护 屏膜 反正 乞丐
__label__1 , 实物 图片 更好 店家
__label__2 , 这一星 京东 购物 体验 真的 体验 垃圾 垃圾 感觉 一号 全款 九号 足球 一万名 京卷 息事宁人 低级 出口 预售 一万名 全款 不该 欺诈 消费者 东西
__label__2 , 
__label__1 , 经典 物有所值 这是 鬼冢虎 系列 第七 双鞋 hellip hellip
__label__1 , 经济 实惠 手感 不错 喜欢
__label__1 , 到货 合脚 舒服 好看 物流 服务态度 好快
__label__1 , 感觉 还行 没用过 用过
__label__1 , 京东 活动 一次性 办公 质量 不错 送过来 包装 严实 卖家 服务态度
__label__1 , 略卡
__label__2 , 建议 这款 产品 多年 体验 最差 手机 老妈 手机 京东 moto ex221 翻盖 手机 老人家 喜欢 开盖 接听 盖下 挂断 电池 同意 新手机 原因 第一次 寄来 手机 通话 声音 麦克风 中兴 质量 京东 上门 换货 很快 原因 两次 收到 手机 手机 没法 保存 设置 点击 保存 时钟 格式 铃声 音量 返回 手机 界面 发现 变化 说白了 手机 设计 评论 卖家 京东 服务态度 只想 中兴 请别 手机
__label__1 , 不错 舒服
__label__1 , 活动 很值 鞋子 很漂亮 喜欢
__label__2 , 这部 太卡 比用 几年 手机 还卡 无语
__label__2 , 有钱 买个 好点 电脑 真的 做工 粗糙
__label__1 , 经济 购买 hellip hellip
__label__2 , 服务 tm 差劲 京东 说理 地方 第一次 部红米 4X 准时 开心 第二次 部红米 4X NOTE4X 说好 次日 到货 东西 延迟 京东 京东 商家 推来推去 发个 链接 半天 东西 家人 中秋 买手机 回家 回去 信誉 受损 家人 失望 缺货 缺什么 不耐烦 告诉 缺什么 帮忙 没带 礼物 回家 爸妈 不说 失望 客服 干脆 搭理 服务 退货 只能 退货 东西 服务 上别 地方
__label__1 , 鞋子 不错 很漂亮 轻便 穿着 舒服 五星 安踏 鞋子
__label__2 , 三天 降价 东西 不值钱
__label__2 , 手机 两天 发现 斜纹 缺点 电池 预期 经用 一星 京东 期货 购买 说好 到货 四号
__label__1 , 穿着 色差 价格 便宜
__label__2 , 再也 京东 买手机 一个月 几天 黑屏 再也 开机 营业厅 手机 系统 申请 售后 几天 回复
__label__1 , 体会
__label__1 , 秒杀 活动 力度 包装 完好 物流 速度 信赖 京东
__label__1 , 皮质 柔软 咨询 客服 尺码 鞋子 尺寸 偏大 一码 穿着 舒服
__label__1 , 几天 感觉 不错 孩子 学习
__label__2 , 满意 手机 网络 关机 开机 七天 没过多久 手机 机了 厂家 京东 售后 京东 售后 保修 第一次 京东 电子厂 肯定 找人 看下 保修 小米 维修点 小米 维修点 请问 评个 产品质量 怀疑 态度 打电话 骚扰 好评 产品 质量 检测 出库 保证 产品 出库 一个多 反正 京东 客服 产品 出库 检测
__label__2 , 更烂 买来 第二天
__label__1 , 修身 显瘦
__label__2 , 发票 手机 发票 全国 保修 商家 太黑
__label__1 , 
__label__2 , 线头 太多
__label__1 , 鞋子 模特 好看
__label__2 , 第一 手机 外观 真心 宣传 好看 弄个 前置 指纹识别 真心 魅族 锤子 前置 王者 开高 十分钟 一比 唯一 一点 手机信号 全是 败笔 麒麟 970 拍照 效果 外观 真的 难看 比价 不高 建议 没尿用 曲面 好看 京东 客服 机器人 很无语 客服 解释 机器人 解答 解答
__label__1 , 价格 实惠 质量 不错 最终 选择 电脑 收到
__label__1 , 手机 塑料 很大
__label__1 , 鞋子 穿着 舒服 鞋子 材质 样式 喜欢
__label__1 , 便宜 质量 性价比
__label__2 , 刚买 没多久 开机 失灵 玩意 申请 售后 为难 算了 想想 办法
__label__2 , 晓得 啥子 东东 耳机线 担心 正品 充电器 打发 满意 说实话 快递 满意
__label__1 , 袖子 线条 平衡 还好
__label__2 , 手机 到手 屏幕 简单 保护膜 第一次 买手机
__label__1 , 老公 喜欢 款式 质量 不错 还会 回购
__label__1 , 正好 活动 购买 前一天 下单 次日 送达 商品 包装 完好 外面 纸盒 封装 面料 舒适 厚度 适中
__label__1 , 鞋子 收到 大爱 快递 卖家 礼品 喜欢
__label__2 , 手机电池 晚上 满格 早上 百分之十几 同事 翻新 申请 售后 第一天 取件 检查 手机 没说 信息 更新 取消 取件 第二天 东西 带齐 手机 留下 上楼 东西 告诉 手机 凹槽 回去 协商 手机 回来 手机套 只能 京东 套路 太深 我识 不清 漫漫 售后 几天 解决 真的 花钱买 罪受
__label__2 , 平时 看哈 电影 还行 游戏 网速 不行 坐火车 没得 手机 发烫
__label__1 , 质量 又款 特别
__label__1 , 老公 喜欢 品牌 信赖 京东
__label__2 , 手机 牌子 没法 我用 感觉 体验 Siri 耳机 杂音 有时候 自动关机 受不了 耳机 杂音 特别 舒服 hellip hellip
__label__1 , 鞋子 舒服 正品 物流 谢谢 商家 下次 你家 鞋子
__label__1 , 网上 几千块 东西 踏实 没想到 网购 方便快捷 保障
__label__2 , 客服 事儿
__label__1 , 外观 美观 大气 款式 好看 价格 实惠 喜欢 发货 卖家 态度 好评
__label__2 , 手机 为题 一星 买手机 配套 人气 配件 满意 欺诈 消费者 钢化 挡住 摄像头 手机 勉强 塞进去 手机 两侧 按键 影响 手机 操作 差评 满意 答复
__label__2 , 差评
__label__1 , 要赞 京东 昨天 京东 小米 官网 开抢 京东 付掉 小米 管网 显示 排队 物流 早就 收到 机器 要说 手机 父母 本来 note4x 之间 犹豫 原则 拿到 机器 失望 超大 机器 分量 不重 系统 流畅 打算 当备机 打算 老人 买手机 这台 不错 选择
__label__1 , 不错 不错 拯救 舒服 开机 下载 游戏 不用说
__label__2 , 送来 机器 sim 卡槽 那根 说明书 折痕 看着 舒服 送人 东西 机器 还好 希望 尴尬
__label__2 , 垃圾 垃圾 垃圾
__label__2 , 十天 平板 开裂 烂货 本来 第二台 无语
__label__1 , 活动 划算 不错
__label__2 , 外包装
__label__1 , 变形 适合 脚瘦
__label__2 , 真心 垃圾 买来 前置 摄像头 申请 换机 划痕 怪我太 大意 手机 买来 验货 小心 看一看 快递 员验机 翻厂 机子 亲口说 反正 手机 垃圾 推荐 购买 单手操作 困难 照相 垃圾 特别 玻璃 后盖 垃圾 玩意 买来 真的 气死人
__label__2 , 超出 期望 千元 机能 做成 真不容易 到手 王者 荣耀 默认 配置 一把 全程 不卡 流畅 无比 MVP 到手 畅快 淋漓 妈用 手上 P10 何以堪 P10 流畅 颜值 高出 五星 肯定 没人 一星
__label__1 , 关注 荣耀 节点 几个 机型 漂亮 机型 更新 几天 耳机 犹豫 第二天 送到 玩起来 畅快
__label__2 , 手机 一个月 手机 网速 特慢 手机 发烫 3000 几十块 手机 质量
__label__2 , 当天 晚上 降价 200
__label__2 , 鞋子 底子 不行 好软 胶胶 感觉 估计 好久 磨破 味道
__label__2 , 手机 太重 掉下来
__label__2 , 质量 真的 充电器 客服 推来推去 说好 网点 真不知道 售后服务 购物 心情 真的 不好
__label__1 , 时尚 实惠 给力
__label__2 , 机器 性能
__label__2 , 评京豆 不返
__label__2 , 充电器 有时候 手机 苹果 售后 充电器 怎么回事
__label__2 , 不好
__label__2 , 我要 魅族 魅蓝 唯一 最气 好听 礼物 往后 俗话说 客户 客户 评价 公司
__label__2 , 外观 好看
__label__1 , 不错 回来 鞋带
__label__2 , 电脑 后悔 垃圾 要死 跟随 系统 文字 模糊 调节 清晰 特别 眼睛 卡死 后悔 联网 做工 粗糙 垃圾 战斗机
__label__2 , 开机 多长时间 蓝屏
__label__1 , 好看 大方 红色 气质
__label__1 , 好用 喜欢 下次
__label__1 , 不错 鞋子 好看
__label__1 , 卖家 热情 真心 喜欢
__label__2 , 耳机 耳机 价保 618
__label__1 , 笔记本 办工 编程 一点 不卡 外观 高大 放心 购买 电脑 我用 一点 同事 小贵 见意 商家 搞动
__label__2 , 音量 刚到
__label__1 , R720 感觉 挺好用 Y7000 期待 快递 很快 到货 开机 先说 感受 开箱 打开 一瞬间 外表 惊艳 这款 颜值 很大 一部分 触感 舒服 水渍 很快 消失 污迹 键盘 手感 不错 回弹 屏幕 边框 很窄 颜值 加分 面类肤 材质 舒服 好不好 清理 这款 机子 初步 印象 期待 后续 开机
__label__2 , 
__label__2 , 感觉 还好 商家 文字游戏 到位 当天 送达 虚晃 文字游戏
__label__2 , 声音 太小 用得 不太像 菲利普
__label__1 , 衣服 不错 买大
__label__2 , 买回来 拆机 仔细 激活 边框 屏幕 划痕 申请 售后 激活 退换 只能 售后 店里 维修 一周
__label__2 , 承诺
__label__2 , 开着 4g 网络 晚上 网络 不行 我能 问问 我信 华为 华为 妈呀
__label__2 , 手机 11.1 双十 降价 差价 双十 降到 2019 没补 差价 真的 欺骗
__label__1 , 夏天 不错 质量
__label__1 , 媳妇 不错
__label__1 , 速度 样式
__label__1 , 
__label__1 , 柔软 价格
__label__2 , 无语
__label__2 , 1000 手机 具然 外壳 几百块 外壳 钢化
__label__1 , 一分钱 一分货 速度 慢慢
__label__1 , 不错
__label__2 , 手机 收到 第一 时间 检查 第一 手机 指纹 滑动 痕迹 手机 划痕 手机 缝隙 白色 粉末 东西 第三 系统 显示 软件 天未 天前 有人 用过 第四 致命 客服 客服 京东 系统 客服 京东 客服 一句 解答 售后 最少 小时 解答 售后 半天 hellip
__label__1 , 手机 不错 手里 质感 处理器 年轻人 打游戏 不行
__label__2 , 手机 只能
__label__1 , 外观 漂亮 装有 语音 总体 满意
__label__2 , 建议 真的 后悔 刚买 一周 返回 延迟 打电话 录像 差评
__label__2 , 电脑 连接 wifi 无缘无故 断网 一个半 小时 断网 三次 售后 十几分钟 回复 真的 无语
__label__2 , 质量 不好
__label__2 , 垃圾 手机 一个月 不到 口袋 屏裂 垃圾 手机
__label__2 , 耳机 耳机 偷去
__label__1 , 好用 手机
__label__1 , 外观 漂亮 物流 很快
__label__2 , 网站 新品 在线 购物 描述 实则 不及 二线 产品 音量 字迹 玩游戏 需常 充电 作虎 坑人 供应商 态度恶劣 踢球 京东 京东 自营 笑话 众多 产品 可否 选择 可恶 骗局 客源 激活 不行 骗局 实在 太大 投诉 数天 理睬 用户 遭气 短命 不用 实体店 可靠 恶劣 京东 客服 侍侍 金牌 会员 pLus 会员 10O86 客服 京东 自营 欺骗 用户 想购 一加 手机 参考 慎重
__label__1 , 电脑 小白 性价比 特别 身边 游戏 本比 杠杠
__label__2 , 商家 提供 白条 套现 希望 严查 骗钱
__label__2 , 一颗 不想 只充 电就充 东西 很轻 塑料盒 后悔 评价 太信 京东 京东 hellip hellip 垃圾
__label__2 , 发票 感觉
__label__1 , 满意 配速 很快 转天 拿到 机器
__label__1 , 不错 鞋垫 带孔 穿着 凉快 物流 很快
__label__1 , 
__label__2 , 鞋子 不到 十天 图片 懂得 实体店 发现 实体店 发票 真心 满意
__label__2 , 不想 说话 说好 保价 这才 几天
__label__2 , 手机 综合 表现 不错 充电 嫩慢 刺激 流畅 卡顿 发热 厉害 bull _& bull 刺激 现场 语音 麦克风 打开 不到 游戏 音效 手机 语音 系统 荣耀 通病 希望 官方 早日 优化
__label__1 , 不错 比较满意
__label__1 , 爸爸 老爸 开心 不错
__label__1 , 不错 味道 鞋底 很软 动手 脚后跟 去掉 感觉 好看 实在 多余
__label__2 , 米粉 这辈子 曹腻 小米
__label__1 , 
__label__2 , 快递 红笔 名字
__label__1 , 不错
__label__2 , 瓷砖 滑板鞋
__label__2 , 华为 手机 第一次 破卡槽 塑料 小心 差点 折断 几个 更是 全屏 毛线
__label__2 , 颜值 高外 一点 不好 看着 配置 但和期 品牌 速度 理想 苹果 系统 难用 想要 购买 慎重考虑 几天 降价 退回 差价
__label__2 , 一星 不想 这一星 投给 快递 手机 质量 通话音质 不清触 不灵敏 坑人
__label__2 , 来电 铃声 很大 打电话 声音 很小 年轻人 费劲 老年人
__label__1 , 性能 运行 声音 主机 平常 短小 小巧 那种 整体 配置 不错 响应 价格 合适
